internalid,linesequencenumber,trandate,tranid,account,debitamount,creditamount,currency,fxamount,subsidiarynohierarchy,cseg_apac_ic,memo
1002,2,2026-06-10,JE-2026-01003,71000 IT Shared Services,,8500.00,USD,8500.00,ANTH-SG,ANTH-JP,IT recharge Jun 2026
1017,1,2026-06-12,JE-2026-01017,61100 Management Fees,10000.00,,USD,10000.00,ANTH-AU,ANTH-SG,Recharge Jun 2026
1025,2,2026-06-16,JE-2026-01026,40100 IC Revenue,,20000.00,SGD,20000.00,ANTH-SG,ANTH-AU,License fee SGD Jun 2026
1021,2,2026-06-14,JE-2026-01022,61200 Consulting Fees,6000.00,,AUD,6000.00,ANTH-AU,ANTH-SG,Partial reversal Jun 2026
1003,1,2026-06-10,JE-2026-01003,71000 IT Shared Services,8500.00,,USD,8500.00,ANTH-JP,ANTH-SG,IT recharge received Jun 2026
1028,1,2026-06-30,JE-2026-01028,18002 Due From ANTH-AU,9000.00,,SGD,,ANTH-SG,ANTH-AU,Elimination entry Jun 2026
1004,1,2026-06-15,JE-2026-01005,18004 Due From ANTH-JP,10000.00,,USD,10000.00,ANTH-SG,ANTH-JP,Management fee Jun 2026
1007,1,2026-06-15,JE-2026-01007,61100 Management Fees,10000.00,,USD,10000.00,ANTH-JP,ANTH-SG,IT recharge received
1007,2,2026-06-15,JE-2026-01007,28001 Due To ANTH-SG,,10000.00,USD,10000.00,ANTH-JP,ANTH-SG,IT recharge received
1008,2,2026-06-18,JE-2026-01009,71000 IT Shared Services,,5000.00,USD,5000.00,ANTH-SG,ANTH-HK,Shared services Jun 2026
1023,2,2026-06-22,JE-2026-01023,61100 Management Fees,,12000.00,SGD,12000.00,ANTH-SG,,Management fee no tag Jun 2026
1001,2,2026-06-05,AICJE-2026-01001,40100 IC Revenue,,15000.00,SGD,15000.00,ANTH-SG,ANTH-AU,Consulting fee Jun 2026
1003,2,2026-06-10,JE-2026-01003,28001 Due To ANTH-SG,,8500.00,USD,8500.00,ANTH-JP,ANTH-SG,IT recharge received Jun 2026
1020,1,2026-06-14,JE-2026-01022,18001 Due From ANTH-SG,10000.00,,AUD,10000.00,ANTH-AU,ANTH-SG,Service fee original Jun 2026
